frame,MAP Vacuum,TPS 1 Volts,TPS 2 Volts,Engine Speed,1/1 O2 Sensor Level,1/1 Short Term ADAP,2/1 Short Term ADAP,Intake Air Temp
421,22.24,0.7,4.31,928.0,,-11.72,-9.97,120.2
422,22.36,0.71,4.29,878.0,,-11.53,-4.89,120.2
423,22.01,0.72,4.29,839.0,,-10.36,-4.5,120.2
424,21.83,0.71,4.29,862.0,,-9.58,-4.11,120.2
425,21.89,0.69,4.31,816.0,,-8.4,-2.94,120.2
426,21.89,0.7,4.31,796.0,,-3.13,-2.74,120.2
427,21.83,0.7,4.3,789.0,,-2.94,-7.82,120.2
428,20.94,0.86,4.12,810.0,,-2.74,-8.01,120.2
429,16.87,1.15,3.8,972.0,,-3.72,-9.77,120.2
430,5.19,1.41,3.58,1281.0,,-9.97,-5.67,120.2
431,2.83,1.5,3.5,1537.0,,-4.5,-3.91,120.2
432,2.95,1.53,3.47,1661.0,,-2.55,-4.5,120.2
433,3.01,1.54,3.46,1695.0,,-1.37,-0.2,120.2
434,3.13,1.55,3.45,1742.0,,-6.45,0.38,118.4
435,3.13,1.55,3.45,1740.0,,2.34,-0.2,118.4
436,3.19,1.56,3.44,1771.0,,3.12,1.95,118.4
437,3.19,1.56,3.44,1797.0,,2.92,-4.5,118.4
438,3.3,1.55,3.45,1782.0,,2.92,-3.72,118.4
439,3.54,1.53,3.48,1792.0,,-2.15,1.17,118.4
440,3.72,1.52,3.49,1804.0,,2.92,-3.33,118.4
441,3.83,1.52,3.49,1814.0,,-2.55,-2.35,118.4
442,3.95,1.5,3.5,1817.0,,-1.96,2.73,118.4
443,4.19,1.48,3.52,1828.0,,3.51,2.53,118.4
444,4.42,1.47,3.53,1821.0,,-2.15,-1.96,118.4
445,4.66,1.44,3.58,1823.0,,3.9,-2.74,118.4
446,5.6,1.36,3.64,1796.0,,-2.55,1.95,118.4
447,6.61,1.32,3.68,1755.0,,2.53,-3.52,118.4
448,7.02,1.3,3.71,1743.0,,-3.13,-3.13,118.4
449,7.96,1.25,3.76,1724.0,,-3.72,-4.11,118.4
450,9.14,1.21,3.79,1689.0,,-5.08,0.58,118.4
451,9.97,1.18,3.82,1654.0,,-6.45,-4.5,118.4
452,10.44,1.18,3.82,1622.0,,-1.57,-4.3,118.4
453,10.5,1.18,3.82,1621.0,,-6.45,2.34,118.4
454,10.5,1.17,3.83,1632.0,,-1.18,-3.52,118.4
455,10.86,1.16,3.84,1611.0,,-6.65,1.36,116.6
456,11.03,1.15,3.86,1581.0,,0.97,-3.72,116.6
457,11.33,1.14,3.86,1578.0,,-3.33,2.73,116.6
458,11.5,1.13,3.87,1558.0,,1.75,-2.74,116.6
459,11.62,1.14,3.87,1539.0,,-2.94,2.34,116.6
460,11.62,1.13,3.88,1523.0,,2.34,-2.55,116.6
461,11.8,1.12,3.88,1507.0,,-2.94,2.34,116.6
462,11.98,1.11,3.89,1478.0,,2.53,-2.35,116.6
463,11.92,1.11,3.91,1460.0,,-1.96,2.73,116.6
464,12.45,1.08,3.92,1414.0,,2.73,-2.15,116.6
465,12.45,1.08,3.92,1386.0,,-1.57,3.31,116.6
466,12.21,1.1,3.9,1367.0,,3.12,5.66,116.6
467,11.56,1.11,3.88,1297.0,,4.68,-0.4,116.6
468,10.38,1.13,3.87,1302.0,,-1.18,4.88,116.6
469,9.79,1.14,3.86,1313.0,,-2.35,-0.2,116.6
470,9.56,1.14,3.86,1321.0,,-1.96,-1.57,116.6
471,9.5,1.15,3.85,1324.0,,-2.74,3.7,116.6
472,9.38,1.15,3.86,1333.0,,3.12,-1.37,116.6
473,9.68,1.13,3.87,1332.0,,-1.76,3.51,116.6
474,9.91,1.13,3.87,1337.0,,-2.74,-0.98,116.6
475,10.03,1.13,3.87,1353.0,,-2.15,-2.15,116.6
476,10.09,1.14,3.87,1363.0,,-3.13,2.92,116.6
477,10.27,1.12,3.88,1362.0,,2.34,-1.37,116.6
478,10.68,1.12,3.88,1366.0,,-1.76,2.92,116.6
479,10.91,1.11,3.89,1373.0,,-2.35,4.29,116.6
480,11.21,1.11,3.89,1387.0,,5.07,-1.57,116.6
481,11.39,1.1,3.9,1390.0,,-1.18,3.9,116.6
482,11.5,1.1,3.9,1396.0,,3.51,-1.18,116.6
483,11.68,1.1,3.9,1401.0,,-1.18,3.9,116.6
484,12.04,1.08,3.92,1406.0,,-1.96,-0.59,116.6
485,12.45,1.07,3.93,1408.0,,3.12,-0.98,116.6
486,12.74,1.07,3.93,1416.0,,-0.98,5.27,116.6
487,12.86,1.07,3.93,1418.0,,-1.57,1.56,116.6
488,13.04,1.07,3.93,1424.0,,4.29,0.38,116.6
489,13.22,1.06,3.94,1421.0,,-1.57,5.07,116.6
490,13.57,1.05,3.95,1422.0,,4.09,0.19,116.6
491,13.86,1.05,3.95,1431.0,,-0.4,-0.79,116.6
492,14.04,1.05,3.95,1435.0,,-0.79,4.49,116.6
493,14.1,1.05,3.95,1438.0,,5.07,-0.2,116.6
494,14.16,1.05,3.96,1441.0,,-0.2,4.49,116.6
495,14.22,1.05,3.95,1439.0,,4.09,-0.01,116.6
496,14.28,1.04,3.97,1446.0,,-0.59,4.68,116.6
497,14.87,0.99,4.03,1449.0,,-1.57,0.19,116.6
498,16.11,0.96,4.04,1447.0,,3.7,-0.4,116.6
499,16.87,0.96,4.04,1446.0,,-1.18,4.49,116.6
500,17.17,0.96,4.04,1447.0,,-1.57,-0.59,116.6
501,17.23,0.97,4.03,1447.0,,4.88,4.29,116.6
502,17.17,0.97,4.03,1449.0,,-0.01,6.24,116.6
503,17.17,0.97,4.03,1449.0,,4.68,0.97,116.6
504,17.17,0.97,4.03,1450.0,,6.44,-0.2,116.6
505,18.05,0.81,4.21,1441.0,,0.77,5.46,116.6
506,21.18,0.73,4.27,1441.0,,-0.79,-0.01,118.4
507,22.42,0.73,4.27,1411.0,,-1.37,-0.59,118.4
508,22.77,0.75,4.25,1348.0,,-1.96,-1.18,118.4
509,22.71,0.76,4.25,1246.0,,3.31,-0.79,118.4
510,22.54,0.76,4.24,1032.0,,3.9,0.58,118.4
511,22.01,0.76,4.24,1095.0,,5.07,2.14,118.4
512,22.01,0.74,4.27,1060.0,,6.63,7.61,118.4
513,22.07,0.74,4.27,1055.0,,6.63,7.81,118.4
514,22.12,0.74,4.27,1055.0,,1.36,7.81,118.4
515,22.12,0.74,4.27,1058.0,,0.77,6.63,118.4
516,22.12,0.74,4.27,1052.0,,-0.01,5.85,118.4
517,22.12,0.74,4.27,1053.0,,-0.79,0.77,118.4
518,22.12,0.74,4.27,1044.0,,-1.76,-0.01,118.4
519,22.12,0.73,4.27,1035.0,,-2.74,-0.98,118.4
520,22.07,0.73,4.27,1025.0,,-3.52,-1.96,118.4
521,22.07,0.73,4.27,1013.0,,-4.5,-2.94,118.4
522,22.07,0.73,4.27,1005.0,,-5.28,-3.72,118.4
523,22.07,0.73,4.27,999.0,,-6.26,-4.69,118.4
524,22.07,0.73,4.27,990.0,,-7.04,-5.47,118.4
525,22.07,0.72,4.28,990.0,,-7.82,-6.26,118.4
526,22.07,0.72,4.28,980.0,,-8.6,-6.84,118.4
527,22.07,0.73,4.28,972.0,,-9.19,-7.62,118.4
528,22.07,0.73,4.28,971.0,,-9.97,-8.21,118.4
529,22.07,0.76,4.21,963.0,,-10.55,-8.79,118.4
530,20.53,0.9,4.1,1016.0,,-11.14,-9.38,118.4
531,18.11,0.99,3.99,1157.0,,-12.51,-11.14,118.4
532,14.57,1.09,3.9,1204.0,,-7.62,-9.97,118.4
533,11.39,1.15,3.84,1407.0,,-3.91,-1.76,118.4
534,10.21,1.18,3.82,1518.0,,-8.99,-0.98,118.4
535,9.91,1.18,3.82,1529.0,,1.17,-0.98,118.4
536,9.85,1.19,3.81,1557.0,,-3.13,2.14,118.4
537,9.85,1.19,3.81,1568.0,,1.75,-3.91,118.4
538,9.85,1.19,3.81,1567.0,,-2.94,1.95,116.6
539,9.85,1.19,3.81,1565.0,,2.92,-4.3,116.6
540,9.85,1.19,3.81,1563.0,,2.92,-2.94,116.6
541,10.56,1.14,3.86,1557.0,,-1.37,-4.3,116.6
542,11.21,1.13,3.87,1519.0,,-2.55,1.56,116.6
543,11.8,1.1,3.9,1494.0,,2.92,4.29,116.6
544,12.39,1.08,3.92,1472.0,,3.9,-1.57,116.6
545,13.04,1.06,3.94,1428.0,,-1.76,3.51,116.6
546,13.27,1.06,3.94,1406.0,,3.7,5.46,116.6
547,13.33,1.06,3.94,1407.0,,6.83,-0.59,116.6
548,13.33,1.06,3.94,1403.0,,1.17,5.07,116.6
549,13.33,1.07,3.93,1404.0,,5.85,0.38,116.6
550,12.68,1.09,3.91,1438.0,,0.38,5.85,116.6
551,12.45,1.09,3.91,1445.0,,5.66,-0.4,116.6
552,12.39,1.1,3.9,1451.0,,0.58,4.49,116.6
553,12.39,1.09,3.9,1454.0,,-0.79,-0.2,116.6
554,12.27,1.1,3.9,1452.0,,4.68,-0.98,116.6
555,11.98,1.12,3.88,1468.0,,-0.01,4.49,116.6
556,11.56,1.13,3.86,1483.0,,-1.18,-0.2,116.6
557,11.21,1.14,3.85,1498.0,,4.29,-1.18,116.6
558,10.91,1.16,3.84,1522.0,,-0.79,5.07,116.6
559,10.62,1.17,3.83,1531.0,,4.09,-1.57,116.6
560,10.44,1.17,3.83,1545.0,,-0.98,-1.96,116.6
561,10.44,1.17,3.83,1554.0,,-1.96,3.31,116.6
562,10.44,1.17,3.83,1559.0,,3.7,-2.55,116.6
563,10.38,1.17,3.83,1562.0,,-1.57,2.73,116.6
564,10.38,1.17,3.83,1568.0,,3.7,-3.13,116.6
565,10.44,1.17,3.83,1570.0,,-1.57,2.34,116.6
566,10.44,1.17,3.83,1572.0,,2.92,-3.13,116.6
567,10.44,1.17,3.83,1567.0,,-2.15,2.34,114.8
568,10.44,1.17,3.83,1570.0,,-2.94,-2.74,114.8
569,10.44,1.17,3.83,1565.0,,2.92,2.73,114.8
570,10.5,1.17,3.84,1570.0,,-3.13,3.7,114.8
571,11.09,1.11,3.9,1549.0,,2.53,-2.55,114.8
572,13.27,0.98,4.03,1474.0,,-3.13,2.34,114.8
573,16.05,0.81,4.21,1355.0,,2.92,3.9,114.8
574,19.23,0.71,4.3,1198.0,,3.51,-1.57,114.8
575,21.06,0.72,4.28,1071.0,,3.31,-2.15,114.8
576,21.71,0.73,4.27,1061.0,,-2.15,-2.94,114.8
577,21.95,0.73,4.27,1052.0,,-2.55,-3.33,116.6
578,22.07,0.73,4.27,1046.0,,-3.13,1.75,116.6
579,22.12,0.77,4.19,1036.0,,-4.11,1.95,116.6
580,18.82,1.12,3.86,1207.0,,-6.45,-3.33,116.6
581,11.5,1.19,3.81,1410.0,,-8.79,-5.47,116.6
582,12.57,0.84,4.18,1484.0,,-11.53,-8.4,114.8
583,18.23,0.75,4.26,1255.0,,-13.09,-9.77,114.8
584,20.65,0.76,4.26,1054.0,,-7.82,-8.99,116.6
585,21.3,0.73,4.28,1040.0,,-6.45,-6.45,116.6
586,21.83,0.73,4.28,1012.0,,-5.08,-0.59,116.6
587,22.01,0.73,4.28,1002.0,,-3.13,0.19,116.6
588,22.07,0.73,4.28,992.0,,-1.76,1.17,116.6
589,22.07,0.73,4.28,984.0,,-1.18,2.14,116.6
590,22.07,0.72,4.28,974.0,,-6.26,1.95,116.6
591,22.07,0.72,4.28,961.0,,-6.45,1.56,116.6
592,22.01,0.72,4.28,941.0,,-7.04,0.58,116.6
593,22.01,0.72,4.29,932.0,,-7.82,-4.89,116.6
594,22.01,0.72,4.29,913.0,,-8.4,-5.47,116.6
595,21.95,0.72,4.29,893.0,,-8.6,-5.87,116.6
596,21.95,0.71,4.29,874.0,,-9.19,-6.45,116.6
597,21.95,0.71,4.29,860.0,,-3.91,-7.23,116.6
598,20.89,0.81,4.19,870.0,,-3.91,-7.82,116.6
599,19.53,0.85,4.15,930.0,,-3.33,-8.79,116.6
600,18.7,0.87,4.13,1001.0,,-8.4,-9.77,116.6
601,18.41,0.79,4.23,1108.0,,-8.99,-9.58,116.6
602,20.36,0.74,4.26,1083.0,,-9.97,-4.3,116.6
603,21.18,0.72,4.28,1019.0,,-10.36,-3.52,116.6
604,21.65,0.72,4.28,966.0,,-5.47,-2.74,116.6
605,21.83,0.71,4.29,929.0,,-5.28,-1.76,116.6
606,21.89,0.71,4.29,887.0,,-4.69,-0.98,116.6
607,21.89,0.7,4.3,852.0,,-3.72,-0.01,116.6
608,21.95,0.71,4.3,824.0,,-2.74,0.97,116.6
609,21.89,0.71,4.3,807.0,,-1.57,1.75,116.6
610,21.83,0.71,4.3,798.0,,-0.59,1.56,116.6
611,21.71,0.71,4.3,785.0,,-0.2,-3.52,116.6
612,21.59,0.71,4.3,772.0,,-0.2,-3.52,116.6
613,21.48,0.71,4.29,754.0,,-0.2,-4.11,116.6
614,21.12,0.73,4.27,738.0,,-0.98,-4.89,116.6
615,20.59,0.74,4.26,708.0,,-5.87,-5.47,116.6
616,20.12,0.75,4.25,682.0,,-6.26,-6.26,116.6
617,19.59,0.75,4.25,675.0,,-6.65,-7.04,116.6
618,19.23,0.76,4.24,666.0,,-7.23,-7.62,116.6
619,18.76,0.77,4.23,664.0,,-8.01,-8.4,116.6
620,18.47,0.77,4.23,671.0,,-8.79,-9.19,116.6
621,18.23,0.78,4.22,687.0,,-9.58,-9.58,116.6
622,18.05,0.78,4.22,699.0,,-10.16,-9.97,116.6
623,17.88,0.78,4.22,700.0,,-10.16,-4.69,116.6
624,17.82,0.77,4.24,747.0,,-9.38,-4.11,116.6
625,18.53,0.72,4.29,817.0,,-7.43,-2.35,116.6
626,19.65,0.72,4.29,845.0,,-2.35,-0.79,116.6
627,20.47,0.72,4.28,839.0,,-1.57,0.77,116.6
628,20.77,0.72,4.28,819.0,,0.19,2.14,116.6
629,20.89,0.74,4.26,744.0,,1.95,3.9,116.6
630,20.18,0.75,4.25,700.0,,3.7,5.66,116.6
631,19.53,0.76,4.24,678.0,,4.49,5.66,116.6
632,19.12,0.76,4.24,674.0,,4.68,0.38,116.6
633,18.94,0.76,4.25,685.0,,4.49,0.38,116.6
634,18.82,0.75,4.25,695.0,,3.7,-0.2,116.6
635,18.88,0.76,4.23,706.0,,3.31,-0.98,116.6
636,18.05,0.89,4.11,721.0,,-1.76,-1.76,116.6
637,15.75,0.93,4.06,862.0,,-2.35,-4.69,116.6
638,13.86,1.0,4.0,1044.0,,-5.47,-6.06,116.6
639,13.1,1.02,3.97,1160.0,,-3.91,-0.2,116.6
640,12.74,1.04,3.96,1275.0,,2.73,4.49,116.6
641,12.74,1.05,3.95,1326.0,,1.56,-1.57,116.6
642,12.92,1.05,3.95,1340.0,,-3.72,2.73,116.6
643,12.98,1.06,3.94,1343.0,,1.17,5.66,116.6
644,12.57,1.08,3.92,1380.0,,5.07,0.38,116.6
645,12.39,1.09,3.91,1426.0,,0.77,-0.79,116.6
646,12.33,1.1,3.9,1484.0,,-0.59,4.88,116.6
647,12.09,1.12,3.87,1499.0,,4.09,-1.57,116.6
648,11.5,1.16,3.84,1580.0,,-1.37,4.29,116.6
649,10.15,1.27,3.72,1687.0,,3.12,-1.57,116.6
650,7.73,1.33,3.66,1814.0,,-0.59,4.88,116.6
651,7.02,1.37,3.63,1866.0,,-1.76,-2.35,118.4
652,6.67,1.39,3.6,1897.0,,-1.37,3.12,118.4
653,5.6,1.48,3.51,1978.0,,3.12,-2.35,118.4
654,4.78,1.54,3.46,2047.0,,-1.76,3.9,118.4
655,4.25,1.6,3.39,2127.0,,-2.15,-2.35,118.4
656,3.6,1.68,3.31,2217.0,,2.92,-2.15,116.6
657,3.24,1.74,3.25,2299.0,,-2.35,2.73,116.6
658,2.95,1.8,3.19,2404.0,,-1.57,2.34,116.6
659,2.71,1.87,3.12,2515.0,,3.12,-3.33,116.6
660,2.6,1.9,3.09,2597.0,,2.92,-2.35,116.6
661,2.42,1.97,3.01,2723.0,,-1.37,-1.96,116.6
662,2.24,2.05,2.95,2837.0,,-0.98,3.51,116.6
663,2.18,2.1,2.89,2952.0,,-1.18,2.92,116.6
664,2.18,2.15,2.85,3056.0,,-1.18,3.12,116.6
665,2.24,2.18,2.81,3153.0,,-0.79,3.12,116.6
666,2.24,2.22,2.77,3251.0,,5.46,3.51,116.6
667,2.3,2.25,2.74,3359.0,,5.07,3.31,116.6
668,2.36,2.28,2.72,3463.0,,4.88,3.7,116.6
669,2.48,2.29,2.71,3596.0,,-0.4,4.09,116.6
670,2.95,2.22,2.79,3705.0,,-0.2,4.29,116.6
671,4.31,2.01,3.07,3798.0,,-0.01,-0.01,116.6
672,9.44,1.59,3.44,3807.0,,-0.01,-0.01,116.6
673,12.98,1.5,3.5,3847.0,,-0.01,-0.01,116.6
674,15.34,1.3,3.74,3788.0,,-0.01,-0.01,116.6
675,19.53,1.09,3.93,3162.0,,-0.01,-0.01,116.6
676,20.77,0.98,4.03,2327.0,,-0.01,-0.01,116.6
677,20.71,0.94,4.05,2110.0,,-0.01,-0.01,116.6
678,19.88,1.1,3.88,2215.0,,-0.01,-0.01,116.6
679,14.46,1.31,3.68,2312.0,,-0.01,-0.01,116.6
680,10.32,1.35,3.66,2052.0,,-0.01,-0.01,116.6
681,8.5,1.31,3.69,1819.0,,-0.01,-0.01,116.6
682,7.55,1.33,3.64,1783.0,,-0.01,-0.01,116.6
683,5.96,1.41,3.59,1809.0,,-5.47,-5.67,116.6
684,5.19,1.43,3.57,1814.0,,-0.01,-0.01,116.6
685,5.01,1.43,3.57,1840.0,,5.07,5.07,116.6
686,4.9,1.48,3.52,1868.0,,-0.59,-1.57,116.6
687,4.37,1.51,3.5,1890.0,,-1.37,-2.94,116.6
688,4.13,1.53,3.47,1914.0,,-1.37,2.73,116.6
689,3.95,1.55,3.45,1942.0,,-2.55,-2.94,116.6
690,3.78,1.58,3.42,1951.0,,-2.35,2.53,116.6
691,3.48,1.61,3.39,1993.0,,2.53,-3.13,114.8
692,3.36,1.63,3.37,2004.0,,-3.13,2.14,114.8
693,3.24,1.64,3.36,2014.0,,-2.35,1.75,114.8
694,3.19,1.65,3.35,2038.0,,2.34,-3.13,114.8
695,3.3,1.62,3.39,2025.0,,-2.94,2.73,114.8
696,3.66,1.59,3.41,2036.0,,-2.15,1.95,114.8
697,3.24,1.67,3.33,2054.0,,2.73,-2.55,114.8
698,2.95,1.7,3.3,2062.0,,-2.35,3.51,114.8
699,2.71,1.73,3.27,2088.0,,2.92,2.92,114.8
700,2.6,1.76,3.24,2090.0,,2.73,-1.57,114.8
701,2.42,1.78,3.21,2115.0,,2.53,-1.37,114.8
702,2.3,1.8,3.19,2132.0,,-2.35,3.7,114.8
703,2.18,1.82,3.18,2120.0,,-1.96,3.7,113.0
704,2.12,1.84,3.16,2116.0,,2.73,-1.57,113.0
705,2.06,1.85,3.15,2133.0,,-1.96,-0.01,113.0
706,2.01,1.86,3.14,2143.0,,-0.01,-0.01,113.0
707,1.95,1.87,3.12,2150.0,,-0.01,-0.01,113.0
708,1.89,1.9,3.1,2177.0,,-0.01,-0.01,113.0
709,1.83,1.92,3.08,2163.0,,-0.01,-0.01,113.0
710,1.77,1.92,3.07,2167.0,,-0.01,-0.01,113.0
711,1.71,1.95,3.05,2199.0,,-0.01,-0.01,113.0
712,1.65,1.95,3.05,2217.0,,-0.01,-0.01,113.0
713,1.83,1.88,3.16,2216.0,,-0.01,-0.01,113.0
714,9.56,0.91,4.14,1988.0,,-0.01,-0.01,111.2
715,18.23,0.8,4.21,1790.0,,-0.01,-0.01,111.2
716,21.59,0.75,4.25,1753.0,,-0.01,-0.01,113.0
717,22.77,0.75,4.25,1709.0,,-0.01,-0.01,113.0
718,23.19,0.75,4.25,1588.0,,-0.01,-0.01,113.0
719,23.19,0.74,4.26,1444.0,,-0.01,-0.01,113.0
720,23.07,0.76,4.24,1289.0,,-0.01,-0.01,113.0
721,22.71,0.75,4.26,1317.0,,-0.01,-0.01,113.0
722,22.71,0.75,4.25,1305.0,,-0.01,-0.01,113.0
723,22.77,0.75,4.25,1301.0,,-0.01,-0.01,113.0
724,22.71,0.76,4.25,1290.0,,-0.01,-0.01,113.0
725,22.71,0.76,4.24,1279.0,,-0.01,-0.01,113.0
726,22.71,0.76,4.24,1271.0,,-0.01,-0.01,113.0
727,22.66,0.76,4.24,1249.0,,-5.47,-5.28,113.0
728,22.6,0.76,4.24,1235.0,,-5.47,-4.69,113.0
729,22.48,0.76,4.24,1232.0,,-5.47,-3.72,113.0
730,22.3,0.78,4.24,1228.0,,-0.01,-2.74,113.0
731,22.3,0.76,4.24,1204.0,,0.58,-1.76,113.0
732,22.24,0.76,4.24,1165.0,,1.36,-0.59,113.0
733,22.18,0.76,4.24,1145.0,,2.73,4.68,113.0
734,22.18,0.76,4.24,1142.0,,3.9,5.07,113.0
735,22.18,0.74,4.26,1119.0,,5.07,5.85,113.0
736,22.36,0.74,4.26,1105.0,,5.27,6.44,113.0
737,22.36,0.75,4.26,1105.0,,0.19,6.05,113.0
738,22.36,0.74,4.26,1120.0,,-0.4,5.07,113.0
739,22.36,0.74,4.26,1108.0,,-1.37,3.9,113.0
740,22.36,0.74,4.26,1084.0,,-2.55,-1.37,113.0
741,22.42,0.74,4.27,1071.0,,-3.72,-1.96,113.0
742,22.42,0.74,4.27,1047.0,,-4.69,-2.94,113.0
743,22.42,0.73,4.27,1026.0,,-5.67,-4.11,113.0
744,22.42,0.73,4.28,1011.0,,-6.65,-4.89,113.0
745,22.42,0.72,4.28,994.0,,-7.23,-5.67,113.0
746,22.42,0.72,4.28,971.0,,-8.01,-6.26,113.0
747,22.42,0.72,4.29,948.0,,-8.99,-6.84,113.0
748,22.42,0.72,4.29,924.0,,-9.19,-7.23,113.0
749,22.42,0.71,4.29,913.0,,-9.38,-7.62,113.0
750,22.42,0.71,4.29,895.0,,-4.3,-7.82,113.0
751,22.42,0.71,4.29,884.0,,-3.72,-7.82,113.0
752,21.95,0.8,4.19,878.0,,-3.33,-6.45,113.0
753,20.59,0.82,4.18,925.0,,-2.94,-1.37,113.0
754,19.88,0.83,4.16,952.0,,-8.21,-1.37,113.0
755,19.41,0.74,4.26,1062.0,,-9.19,-7.04,113.0
756,20.94,0.72,4.28,1106.0,,-9.97,-7.62,113.0
757,21.83,0.72,4.28,1030.0,,-10.36,-8.21,113.0
758,22.18,0.72,4.29,976.0,,-5.28,-8.6,113.0
759,22.3,0.71,4.29,940.0,,-4.89,-8.01,113.0
760,22.24,0.73,4.27,913.0,,-4.5,-7.23,113.0
761,22.07,0.73,4.28,893.0,,-4.11,-6.45,113.0
762,22.01,0.72,4.28,869.0,,-2.94,-1.37,113.0
763,22.01,0.71,4.3,844.0,,-2.15,-0.98,113.0
764,22.07,0.71,4.29,799.0,,-1.37,-0.4,113.0
765,21.89,0.71,4.29,782.0,,-1.37,-0.2,113.0
766,21.77,0.71,4.29,783.0,,-6.26,-0.01,113.0
767,21.71,0.71,4.29,770.0,,-6.45,-0.01,113.0
768,21.59,0.71,4.29,758.0,,-6.84,-0.4,113.0
769,21.48,0.72,4.28,741.0,,-7.23,-0.98,113.0
770,20.94,0.73,4.27,732.0,,-1.96,-6.06,113.0
771,20.53,0.74,4.26,704.0,,-1.96,-6.65,113.0
772,20.06,0.75,4.25,686.0,,-1.96,-7.43,113.0
773,19.71,0.76,4.24,675.0,,-2.94,-8.21,113.0
774,19.35,0.76,4.24,668.0,,-7.82,-8.99,113.0
775,19.0,0.77,4.23,666.0,,-8.21,-9.38,113.0
776,18.64,0.77,4.23,669.0,,-8.79,-9.77,113.0
777,18.41,0.78,4.23,678.0,,-9.58,-9.58,113.0
778,18.29,0.78,4.22,687.0,,-9.97,-4.5,113.0
779,18.11,0.79,4.22,696.0,,-10.16,-4.11,113.0
780,17.99,0.79,4.21,700.0,,-9.97,-3.13,113.0
781,17.88,0.79,4.22,716.0,,-4.3,-1.96,113.0
782,18.17,0.74,4.28,794.0,,-3.91,-0.4,113.0
783,19.35,0.72,4.28,839.0,,-2.94,0.77,113.0
784,20.12,0.72,4.28,845.0,,-1.37,0.97,113.0
785,20.65,0.72,4.28,839.0,,0.19,-4.11,113.0
786,20.94,0.73,4.28,789.0,,1.17,-4.11,113.0
787,20.83,0.76,4.25,724.0,,2.34,-3.91,113.0
788,20.06,0.77,4.23,676.0,,3.51,-2.94,113.0
789,19.41,0.77,4.23,648.0,,4.29,2.53,113.0
790,18.76,0.78,4.22,638.0,,-1.18,2.92,113.0
791,18.23,0.78,4.22,645.0,,-1.37,3.7,113.0
792,17.99,0.78,4.22,669.0,,-1.76,3.9,113.0
793,17.94,0.77,4.23,690.0,,-1.96,3.9,113.0
794,17.7,0.85,4.12,716.0,,-2.55,-1.37,113.0
795,15.93,0.93,4.06,793.0,,-4.11,-1.76,113.0
796,14.22,0.97,4.02,939.0,,-6.45,-4.3,113.0
797,13.16,1.01,3.99,1089.0,,-0.79,-3.33,113.0
798,12.8,1.02,3.97,1190.0,,2.53,3.9,113.0
799,12.68,1.06,3.94,1265.0,,-2.35,5.07,113.0
800,11.62,1.12,3.87,1325.0,,-3.52,-1.18,113.0
801,10.27,1.17,3.83,1400.0,,2.14,-2.74,113.0
802,9.62,1.18,3.82,1478.0,,-1.96,2.14,113.0
803,9.5,1.19,3.81,1527.0,,-3.13,2.73,113.0
804,9.56,1.19,3.81,1556.0,,2.53,-3.33,113.0
805,10.03,1.14,3.86,1573.0,,-3.13,2.34,113.0
806,11.09,1.14,3.86,1553.0,,1.56,-3.72,113.0
807,11.39,1.13,3.87,1551.0,,3.7,2.34,113.0
808,11.62,1.14,3.86,1571.0,,-1.96,4.68,113.0
809,11.68,1.14,3.86,1594.0,,3.31,-0.79,113.0
810,11.56,1.16,3.84,1630.0,,0.19,4.29,113.0
811,11.33,1.18,3.82,1678.0,,4.29,-0.98,113.0
812,10.68,1.2,3.79,1730.0,,-0.2,4.29,113.0
813,10.38,1.22,3.78,1777.0,,4.49,-0.98,113.0
814,10.27,1.23,3.76,1812.0,,5.85,5.07,113.0
815,9.73,1.27,3.73,1867.0,,5.66,0.77,113.0
816,9.38,1.28,3.71,1931.0,,0.38,5.27,113.0
817,9.14,1.29,3.71,1972.0,,6.05,0.58,113.0
818,9.2,1.31,3.69,2046.0,,-0.2,-0.59,113.0
819,9.38,1.32,3.69,2122.0,,-0.98,-0.98,113.0
820,9.5,1.32,3.68,2146.0,,-0.98,3.51,113.0
821,9.68,1.33,3.67,2250.0,,3.31,-2.15,113.0
822,9.73,1.33,3.67,2290.0,,-1.96,3.31,113.0
823,9.73,1.33,3.67,2314.0,,2.92,-2.35,113.0
824,9.97,1.31,3.72,2323.0,,-2.94,3.12,113.0
825,11.03,1.28,3.72,2148.0,,1.75,-2.94,111.2
826,10.62,1.28,3.74,1853.0,,-3.52,2.73,111.2
827,9.5,1.23,3.77,1713.0,,-5.08,-3.72,111.2
828,9.32,1.25,3.75,1714.0,,0.38,-4.11,111.2
829,8.55,1.28,3.72,1741.0,,-4.11,4.68,111.2
830,7.85,1.3,3.7,1779.0,,4.09,-1.18,111.2
831,7.61,1.3,3.7,1804.0,,-0.59,3.51,111.2
832,7.79,1.3,3.7,1813.0,,3.9,-1.96,111.2
833,7.61,1.32,3.68,1851.0,,-1.37,3.7,111.2
834,7.61,1.32,3.68,1868.0,,-1.57,3.12,113.0
835,7.61,1.33,3.68,1875.0,,-2.15,-1.37,113.0
836,7.61,1.33,3.67,1886.0,,-1.57,-2.15,113.0
837,7.67,1.33,3.67,1889.0,,3.12,-1.96,113.0
838,7.73,1.33,3.67,1901.0,,-1.76,3.12,113.0
839,7.73,1.33,3.67,1897.0,,3.12,2.92,113.0
840,7.67,1.32,3.68,1875.0,,-2.35,-1.96,113.0
